taxon_idx	jumper_raw	laggard_raw	jumper_rel_abund	laggard_rel_abund	log2FC_posterior_mean	log2FC_posterior_median	log2FC_ci95_lower	log2FC_ci95_upper	log2FC_posterior_std	p_jumper_enriched	p_laggard_enriched	direction_bayesian	ci_excludes_zero	n_mcmc	taxon
133	0	2	0.0	0.3929	-2.2429	-2.0445	-6.9489	1.2115	2.0549	0.1176	0.8824	Laggard-exclusive (low-count)	False	20000	Pseudomonas fluvialis
134	0	1	0.0	0.1965	-1.4863	-1.2955	-6.2273	2.3475	2.1553	0.2387	0.7613	Laggard-exclusive (low-count)	False	20000	Pseudomonas frederiksbergensis
135	0	4	0.0	0.7859	-3.0897	-2.8497	-7.5793	0.054	1.9426	0.028	0.972	Laggard-enriched	False	20000	Pseudomonas guangdongensis
136	0	3	0.0	0.5894	-2.7059	-2.4687	-7.3211	0.5301	1.9788	0.0559	0.9441	Laggard-exclusive (low-count)	False	20000	Pseudomonas humi
137	0	2	0.0	0.3929	-2.2489	-2.0276	-6.9655	1.2159	2.0634	0.1162	0.8838	Laggard-exclusive (low-count)	False	20000	Pseudomonas luteola
138	0	6	0.0	1.1788	-3.6025	-3.3327	-8.119	-0.6309	1.9041	0.0071	0.9929	Laggard-enriched	True	20000	Pseudomonas marincola
139	0	2	0.0	0.3929	-2.2323	-2.0082	-6.9125	1.1553	2.0358	0.1132	0.8868	Laggard-exclusive (low-count)	False	20000	Pseudomonas massiliensis
140	0	1	0.0	0.1965	-1.529	-1.3377	-6.4192	2.2751	2.1825	0.2349	0.7651	Laggard-exclusive (low-count)	False	20000	Pseudomonas mediterranea
141	0	3	0.0	0.5894	-2.7176	-2.4967	-7.2991	0.5088	1.9681	0.0562	0.9438	Laggard-exclusive (low-count)	False	20000	Pseudomonas mendocina
142	0	2	0.0	0.3929	-2.244	-2.0178	-6.8461	1.1747	2.035	0.1136	0.8864	Laggard-exclusive (low-count)	False	20000	Pseudomonas mucidolens
