ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
map04714	map04714	26	0.351826966583792	1.04016855200641	0.463265306122449	0.743070362473348	0.680432424344443	5738	tags=46%, list=32%, signal=31%	XM_067110139.1/XM_067082608.1/XM_067120859.1/XM_067108538.1/XM_067095929.1/XM_067101995.1/XM_067118936.1/XM_067134220.1/XM_067110184.1/XM_067091698.1/XM_067113172.1/XM_067110186.1
map04922	map04922	25	0.350970343878427	1.02833667480098	0.468237704918033	0.743070362473348	0.680432424344443	5565	tags=40%, list=31%, signal=28%	XM_067093698.1/XM_067081591.1/XM_067081589.1/XM_067089424.1/XM_067081585.1/XM_067081584.1/XM_067081582.1/XM_067084960.1/XM_067123947.1/XM_067081587.1
map04310	map04310	15	0.378892946968496	1.01801884061304	0.471215351812367	0.743070362473348	0.680432424344443	6657	tags=40%, list=37%, signal=25%	XM_067090976.1/XM_067132402.1/XM_067127548.1/XM_067090968.1/XM_067123913.1/XM_067082612.1
map04010	map04010	19	-0.223762976288717	-1.09522433357068	0.502377548940766	0.769578313253012	0.704705858092189	2956	tags=47%, list=16%, signal=40%	GH624882.1/XM_067095187.1/XM_067095184.1/XM_067102642.1/XM_067116866.1/XM_067126270.1/XM_067126273.1/XM_067083290.1/XM_067114938.1
map04390	map04390	16	0.366373373434033	1.00000550416316	0.510031678986272	0.769578313253012	0.704705858092189	7830	tags=50%, list=43%, signal=28%	XM_067087864.1/JP353831.1/XM_067127011.1/XM_067127548.1/XM_067100133.1/XM_067081039.1/XM_067089467.1/XM_067090743.1
map04919	map04919	11	0.391366721071951	0.976986411195846	0.517435320584927	0.769578313253012	0.704705858092189	7754	tags=55%, list=43%, signal=31%	XM_067116297.1/XM_067095929.1/XM_067095140.1/XM_067129236.1/XM_067130544.1/XM_067116106.1
map05165	map05165	24	0.345391706009563	1.00439403099997	0.519013360739979	0.769578313253012	0.704705858092189	8074	tags=50%, list=45%, signal=28%	XM_067116297.1/XM_067110139.1/XM_067089712.1/XM_067108538.1/XM_067095929.1/XM_067127548.1/XM_067092541.1/XM_067081039.1/XM_067129236.1/XM_067108539.1/XM_067090743.1/XM_067126478.1
map05200	map05200	31	0.330522466473954	0.999351884856855	0.519308943089431	0.769578313253012	0.704705858092189	6684	tags=45%, list=37%, signal=28%	XM_067116297.1/XM_067110139.1/XM_067122441.1/XM_067134234.1/XM_067106550.1/XM_067134233.1/XM_067133239.1/XM_067129872.1/XM_067122440.1/XM_067094502.1/XM_067127548.1/XM_067092541.1/XM_067123913.1/XM_067129236.1
map04072	map04072	13	0.369399355963086	0.964709359974452	0.556756756756757	0.811617800085695	0.743201579881638	3216	tags=31%, list=18%, signal=25%	XM_067116297.1/XM_067110139.1/XM_067108538.1/XM_067095929.1
map05208	map05208	19	0.345951259218985	0.969143409810043	0.560874089490114	0.811617800085695	0.743201579881638	9206	tags=63%, list=51%, signal=31%	XM_067105492.1/XM_067116297.1/XM_067110139.1/XM_067129306.1/XM_067094502.1/EU077526.1/XM_067129236.1/XM_067116106.1/XM_067129308.1/XM_067131708.1/XM_067125883.1/XM_067105493.1
