	SRR21374326	SRR21374327	SRR21374328	SRR21374329	SRR21374330	SRR21374331	SRR21374332	SRR21374333	SRR21374334	SRR21374335	SRR21374336	SRR21374337	SRR21374338	SRR21374339	SRR21374340	SRR21374341	SRR21374342	SRR21374343	SRR21374344	SRR21374345
XM_067112474.1	3.4500	3.4176	2.8029	3.8333	3.2807	2.5995	2.2214	3.3700	3.4377	2.0756	2.7910	3.4411	4.1166	3.5544	3.7340	2.6794	3.7787	2.6459	3.2387	3.3246
XM_067112475.1	14.9667	18.3952	11.5587	23.5692	20.6561	12.6868	14.9698	12.6160	13.6110	7.0298	28.8587	18.1730	16.0074	15.1240	15.6620	18.3082	20.4262	14.9851	11.1357	17.3882
XM_067112477.1	1.7646	1.2738	2.1989	1.3084	2.5406	1.0028	4.3180	2.2595	2.3997	0.7922	4.4226	0.8523	2.2672	1.2322	2.0066	3.3123	2.0197	1.7631	0.9350	1.5714
XM_067112478.1	20.2921	47.5709	23.6647	25.6976	17.1493	20.5840	33.3450	17.9203	32.0407	47.3110	13.4092	23.6177	27.5937	48.5446	49.5487	5.3589	14.3561	30.7707	28.9520	34.1880
XM_067112480.1	7.9242	14.9438	5.5315	8.7122	13.7940	7.3820	11.1957	11.1676	7.5248	7.9287	9.6605	14.3871	16.2261	6.9556	11.2030	23.3163	21.8337	14.6251	11.9087	20.9101
XM_067112482.1	2.0331	1.4039	1.5350	1.8141	1.4387	2.1252	0.6103	2.8860	1.3987	1.6984	2.1347	1.3241	1.9049	1.6789	2.0429	1.4403	1.5539	1.9510	1.7138	1.6396
XM_067112485.1	1.4647	0.8641	0.7357	0.0000	1.5803	0.6685	0.5629	0.7781	0.9547	0.9391	1.1265	1.0596	0.9328	0.9643	4.1445	0.0000	0.5729	0.8791	2.5463	1.3653
XM_067112486.1	11.4456	10.9695	7.4154	9.2835	9.5482	8.7858	16.1423	5.2846	6.0547	5.8126	9.7037	19.8366	11.4832	4.1589	8.6440	2.4653	2.2426	13.5774	14.1077	16.2557
XM_067112487.1	2.6469	1.9984	2.3751	2.4350	2.2024	2.5660	1.9587	2.0522	1.9202	4.0172	2.5360	1.9798	1.8881	3.5744	2.4219	2.5296	3.3649	2.8295	2.6766	3.0010
XM_067112488.1	3.4609	3.1503	3.0750	3.2812	2.8871	3.7640	3.5577	4.0284	2.7313	3.0661	4.1588	3.8183	2.4213	3.0366	2.3763	3.2522	2.0764	3.5627	2.3293	2.8098
XM_067112497.1	4.0189	2.9770	2.1802	3.0470	16.1896	7.2241	6.3143	2.2981	3.6570	3.0235	2.5794	3.6408	3.6776	0.9897	1.5067	151.1823	5.0496	3.3255	0.0000	0.1987
XM_067112503.1	1.4002	0.0360	0.0000	0.5510	0.3091	0.0547	0.0601	0.1391	0.4321	0.0000	0.1621	0.5099	0.9600	1.0649	0.4351	1.1413	2.4067	0.4947	0.9284	1.6059
XM_067112507.1	352.8974	476.4632	317.6586	503.4715	364.7612	441.1898	374.8720	418.9138	389.7569	403.9201	414.5069	362.9163	428.5115	398.4056	393.0731	653.6150	559.3535	456.1147	339.5130	403.5166
XM_067112508.1	5.1184	7.5214	2.7048	6.0154	7.2675	8.8774	4.2718	7.8670	3.2384	4.9981	5.8854	4.7017	5.0000	3.1856	0.1596	9.0851	1.3533	6.4669	2.4602	3.1326
XM_067112510.1	0.7816	0.4950	1.8284	2.3960	0.5544	3.7957	0.1764	2.1404	4.5074	0.0485	0.0000	6.3518	0.0049	0.6726	0.6856	9.4074	3.1910	1.2290	1.0914	0.0000
XM_067112514.1	9.3772	10.5459	7.2051	15.8418	7.5649	5.9630	7.4324	9.4365	8.2169	11.1521	13.3062	7.2076	9.1183	8.7314	56.8102	14.1396	23.6457	9.7363	7.3620	9.8205
XM_067112516.1	0.9953	1.1363	0.8403	0.8859	0.9026	1.1247	1.4375	1.1383	0.8102	0.5278	1.7091	1.1579	0.9828	0.8049	0.7514	0.9892	0.6932	0.9799	0.7393	0.9024
XM_067112518.1	2.7775	4.0743	2.8246	3.2894	4.7848	2.7398	3.3311	2.8104	4.1030	2.0937	3.4971	3.5659	3.6193	2.5668	8.6410	3.6229	3.0220	3.3733	2.0392	2.4366
XM_067112520.1	1.1213	2.3527	1.6850	1.8407	1.5174	2.5012	1.1909	1.4652	0.6157	0.8918	2.6438	1.4266	2.9813	1.2688	1.0751	0.8525	1.2519	0.8171	1.4483	1.1771
XM_067112526.1	1.7854	2.1712	0.7641	1.9542	1.4179	1.3701	1.4984	1.6536	1.9328	0.5762	2.5940	2.4978	0.5749	2.1246	2.1137	0.9606	0.9723	1.5796	1.2176	0.5904
