	SRR21374326	SRR21374327	SRR21374328	SRR21374329	SRR21374330	SRR21374331	SRR21374332	SRR21374333	SRR21374334	SRR21374335	SRR21374336	SRR21374337	SRR21374338	SRR21374339	SRR21374340	SRR21374341	SRR21374342	SRR21374343	SRR21374344	SRR21374345
XM_067106385.1	0.0577	0.1106	0.0000	23.9588	5.1170	6.6860	5.0625	8.8221	0.1888	0.0000	0.0000	0.0000	0.0778	23.0462	13.9754	6.8237	0.1707	0.0875	11.7131	12.6474
XM_067106386.1	0.5182	0.0000	0.1095	14.9535	12.0784	18.7744	25.5019	23.9916	0.4331	0.1214	0.0000	0.2057	0.0000	4.2823	6.6130	3.4093	0.6712	0.4794	6.0734	5.0861
XM_067106403.1	4.6680	0.0000	1.5272	2.2413	1.9173	0.0000	1.8805	0.0000	90.6681	96.7555	35.7143	87.1930	51.3728	0.0000	2.9362	1.2501	1.6228	7.7734	2.1725	1.6158
XM_067106405.1	1.1350	0.8043	0.5430	0.3489	0.0000	0.0000	0.1122	0.0000	4.1989	5.4073	3.0230	2.5201	1.4278	0.0000	0.5031	0.0720	0.6253	0.5391	0.0000	0.0903
XM_067106407.1	1.7673	1.1408	0.8698	8.3283	4.1031	4.6685	2.2005	4.0479	0.4216	0.5315	0.2874	0.0000	0.1232	5.1788	4.0896	3.2295	0.0682	0.2996	2.5306	4.0907
XM_067106417.1	4.8126	0.0922	0.5831	11.8207	2.8675	3.0292	3.9907	1.0585	114.3871	158.0578	81.1039	105.8074	99.8920	11.3398	12.9670	58.5418	17.7546	5.7194	7.6497	8.5882
XM_067106454.1	0.9823	0.7347	0.5237	1.3657	0.5196	0.5414	0.5875	0.7239	3.7677	3.5589	3.6413	3.3322	3.2402	0.6542	0.8692	0.7440	1.8516	1.3557	0.3787	0.8615
XM_067106455.1	9.8436	8.7344	7.1288	11.0287	9.2641	10.3615	10.1787	11.2548	11.3191	11.1531	14.2434	10.5438	11.1211	5.1463	7.5173	19.5136	14.4517	12.3344	5.9481	9.3423
XM_067106456.1	1.6974	2.2683	0.6653	1.5407	1.9044	2.7975	2.1388	1.1765	4.5291	5.7504	13.3052	5.7118	7.6911	3.7124	2.4740	4.5665	5.6959	1.3850	0.9826	1.8744
XM_067106457.1	1.4502	1.4302	0.8823	2.3904	1.8545	1.3471	1.6192	1.7522	42.1838	51.1209	38.9857	50.5474	46.3651	1.1991	2.1036	13.9833	4.9876	3.4268	1.3548	1.6502
XM_067106458.1	3.2257	0.9958	1.0805	0.5870	0.1881	0.1092	0.2179	0.1146	1.7865	1.8239	2.2377	2.5145	1.9626	0.4963	0.3128	2.1595	4.9319	4.9358	0.0615	0.0680
XM_067106461.1	5.5717	3.5070	2.8607	3.9884	2.7361	2.4118	2.6179	1.9417	9.6429	7.2777	14.0803	10.5159	10.5582	2.3985	2.3565	4.4324	4.7188	5.8017	1.3631	1.9292
XM_067106463.1	3.7685	2.8560	1.9303	2.0003	1.0911	1.1375	1.1517	1.1462	5.3059	2.9195	9.7025	4.4288	6.3400	1.2120	1.1038	2.7634	1.7656	3.3498	0.5329	1.0151
XM_067106467.1	6.7748	7.5566	7.2903	4.5947	2.1102	1.8210	1.7510	2.4497	2.4563	6.6179	5.0855	7.5508	2.1730	2.4490	3.1433	1.4395	5.7284	7.9487	3.5278	4.8483
XM_067106478.1	2.5439	1.1110	1.1649	1.3069	1.6550	2.2440	2.1748	2.4031	29.0502	16.7899	5.7627	12.6201	19.2037	2.4031	0.4732	0.4779	4.0116	2.2263	0.1287	0.6198
XM_067106479.1	0.1963	0.0000	0.0000	0.2412	0.0000	0.0000	0.4626	0.4037	3.5031	7.6083	3.3162	6.8221	3.3527	0.0000	0.7383	0.4714	1.1078	0.0000	0.5484	0.8621
XM_067106480.1	4.3797	4.5584	2.3907	1.7715	2.0028	1.7682	1.8618	0.8385	7.2154	5.8262	7.8915	6.5144	9.1354	0.7318	1.0067	0.9107	4.6075	5.7834	0.6629	0.6196
XM_067106481.1	85.1119	146.0248	26.7799	2.5319	27.6611	2.1945	3.8298	1.1269	0.9977	0.0000	0.5385	0.1244	9.8799	0.9783	4.5257	3.3833	0.8383	237.1485	1.7256	3.0410
XM_067106484.1	926.5396	2434.4826	684.1708	11.1568	44.4596	8.2176	13.4628	6.5153	8.5745	1.9478	3.7908	2.8467	2.6634	19.6431	5.1334	18.5308	22.9815	2268.6121	4.3515	6.7727
XM_067106485.1	1664.6147	1509.2012	2805.7532	0.0000	0.7924	0.0000	0.0000	0.0000	0.0000	0.2560	0.0000	0.1320	0.2769	0.0000	0.5634	0.0000	0.0713	355.8764	0.2086	0.1222
